block,importance_S,grad_G,lesion_L,attn_A,rank
0,0.7718,1.0,0.5896,0.7824,13
1,0.4332,0.1236,0.7277,0.3121,8
2,0.4265,0.1795,0.8082,0.0,8
3,0.5797,0.1029,0.8289,0.8536,10
4,0.6459,0.164,0.8925,0.9345,11
5,0.6313,0.0993,0.9481,0.8493,11
6,0.6211,0.0926,0.9073,0.9018,11
7,0.6477,0.0561,0.9512,1.0,11
8,0.5821,0.1103,0.9994,0.469,10
9,0.5974,0.1663,1.0,0.446,10
10,0.6575,0.0946,0.9861,0.903,11
11,0.5723,0.0944,0.9645,0.5261,10
12,0.5831,0.046,0.9674,0.6584,10
13,0.5583,0.0401,0.9524,0.5782,10
14,0.5351,0.0062,0.9519,0.5229,9
15,0.4875,0.003,0.9478,0.2995,9
16,0.614,0.0152,0.945,0.9171,11
17,0.5576,0.0173,0.9233,0.6802,10
18,0.4938,0.0041,0.886,0.4684,9
19,0.5119,0.0,0.8463,0.6553,9
20,0.5361,0.0018,0.8584,0.7459,10
21,0.5872,0.0169,0.8496,0.9951,10
22,0.4704,0.0285,0.8196,0.458,9
23,0.0941,0.009,0.0,0.4548,3
